nombre	marca	tienda	pais	alergenos	additivos	puntuacion_nova	image_url	image_small_url	calorias	energia	grasa	grasas_saturadas	colesterol	carbohidratos	azucares	fibra	proteinas	sal	sodio	calcio	hierro	puntuacion
Galletas maría doradas	Hacendado	Mercadona	España	en:gluten,en:milk,en:sulphur-dioxide-and-sulphites	en:e223,en:e306	4	https://images.openfoodfacts.org/images/products/848/000/014/1323/front_es.6.400.jpg	https://images.openfoodfacts.org/images/products/848/000/014/1323/front_es.6.200.jpg	461	1929	14	1.4		76	23	2.2	7	1	0.4			13
Digestive chocolate con leche	hacendado		España		en:e334,en:e500,en:e500ii,en:e503,en:e503ii	4	https://images.openfoodfacts.org/images/products/848/000/014/1316/front_es.17.400.jpg	https://images.openfoodfacts.org/images/products/848/000/014/1316/front_es.17.200.jpg	498	2084	20	13		63	26	3.6	6	1.4	0.56			24
Chocolate negro 85% cacao	Hacendado	Mercadona	España			4	https://images.openfoodfacts.org/images/products/848/000/012/4937/front_es.36.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/4937/front_es.36.200.jpg	576	2383	46	28		22	15	15	12	0	0			15
Hot dog	Hacendado	Mercadona	España	en:gluten	en:e202,en:e282,en:e471,en:e472e	4	https://images.openfoodfacts.org/images/products/848/000/082/3328/front_es.47.400.jpg	https://images.openfoodfacts.org/images/products/848/000/082/3328/front_es.47.200.jpg	270	1125	4	0.6		48	5.5	2.5	9	1.1	0.44			1
Burger 100% integral	Hacendado	Mercadona	España	en:gluten,en:sesame-seeds	en:e200,en:e202,en:e282,en:e412,en:e471,en:e481	4	https://images.openfoodfacts.org/images/products/848/000/082/7210/front_es.44.400.jpg	https://images.openfoodfacts.org/images/products/848/000/082/7210/front_es.44.200.jpg	259	1093	4.8	1.1		40	3.1	8	11	1.1	0.44			-2
Limón bote	Hacendado	Mercadona	España	en:sulphur-dioxide-and-sulphites	en:e220	1	https://images.openfoodfacts.org/images/products/848/000/004/9032/front_es.68.400.jpg	https://images.openfoodfacts.org/images/products/848/000/004/9032/front_es.68.200.jpg	125	125	0	0		7.1	1.5	0	0	0.01	0.004			-4
Aroma agua de azahar	Hacendado	Mercadona	España		en:e202,en:e490	4	https://images.openfoodfacts.org/images/products/848/000/019/8167/front_es.42.400.jpg	https://images.openfoodfacts.org/images/products/848/000/019/8167/front_es.42.200.jpg														
Pechuga pavo finas lonchas reducido de sal	Hacendado	Mercadona,Hacendado	España		en:e250,en:e407,en:e451,en:e451i	4	https://images.openfoodfacts.org/images/products/848/000/059/2521/front_en.76.400.jpg	https://images.openfoodfacts.org/images/products/848/000/059/2521/front_en.76.200.jpg														
Te verde hacendado	Hacendado	Mercadona	España		en:e142,en:e150d,en:e300,en:e330,en:e331,en:e955	4	https://images.openfoodfacts.org/images/products/848/000/027/8326/front_es.46.400.jpg	https://images.openfoodfacts.org/images/products/848/000/027/8326/front_es.46.200.jpg	23.6	100.5	0.1	0.1		5.7	5.7	0.1	0.1	0.03	0.012			8
Leche semidestanada sin lactosa	Hacendado		España			3	https://images.openfoodfacts.org/images/products/848/000/010/5011/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/010/5011/front_es.3.200.jpg			1.5			4.6	4.6		3	0.13	0.052			
Choco stik nata	Hacendado	Mercadona	España	en:milk	en:e412,en:e471	4	https://images.openfoodfacts.org/images/products/843/513/012/3848/front_es.31.400.jpg	https://images.openfoodfacts.org/images/products/843/513/012/3848/front_es.31.200.jpg	319	1335	22	16		29	26		2.3	0.13	0.052			18
Entrepinares	hacendado		España				https://images.openfoodfacts.org/images/products/235/091/700/2467/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/235/091/700/2467/front_es.3.200.jpg	372	1556	32	19		0.5	0.5		21	1.4	0.56			
Chocolate con leche	hacendado		España				https://images.openfoodfacts.org/images/products/848/000/013/5001/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/013/5001/front_es.3.200.jpg	527	2205	28	16		63	16		4.8	0.14	0.056			19
Salsa queso	Hacendado	Mercadona	España		en:e14xx,en:e160c,en:e171,en:e202,en:e251,en:e252,en:e270,en:e330,en:e331,en:e340,en:e407,en:e410,en:e452,en:e621	4	https://images.openfoodfacts.org/images/products/848/000/015/8390/front_es.4.400.jpg	https://images.openfoodfacts.org/images/products/848/000/015/8390/front_es.4.200.jpg	102.4	428.9	4.5	0.7		12.1	4.7		2.9	2.26	0.904			12
Puré de patatas	Hacendado	Mercadona	España	es:Metabisulfito sódico	en:e223,en:e471	4	https://images.openfoodfacts.org/images/products/401/244/839/6009/front_es.66.400.jpg	https://images.openfoodfacts.org/images/products/401/244/839/6009/front_es.66.200.jpg	354	1481	0.6	0.4		76	1.5		8.3	0.15	0.06			-6
Salmorejo fresco	Hacendado	Mercadona	España			3	https://images.openfoodfacts.org/images/products/848/000/039/9014/front_es.54.400.jpg	https://images.openfoodfacts.org/images/products/848/000/039/9014/front_es.54.200.jpg	134	561	10	1.4		9.5	2.1		1.5	0.95	0.38			5
Avena crunchy	Hacendado		España				https://images.openfoodfacts.org/images/products/848/000/015/6112/front_es.17.400.jpg	https://images.openfoodfacts.org/images/products/848/000/015/6112/front_es.17.200.jpg	390	1632	5.8	1		66	4.6		13	0.2	0.08			0
Chocolate classic	Hacendado	Mercadona	España	en:milk,en:soybeans		4	https://images.openfoodfacts.org/images/products/848/000/013/6534/front_es.10.400.jpg	https://images.openfoodfacts.org/images/products/848/000/013/6534/front_es.10.200.jpg	543	2264	33	20		52	51		7.9	0.21	0.084			26
Chocolate con leche suave	Hacendado	Mercadona	España	en:milk,en:nuts,es:Láctea	en:e476	4	https://images.openfoodfacts.org/images/products/848/000/012/4777/front_es.21.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/4777/front_es.21.200.jpg	539	2252	30	19		59	58	1.6	6.8	0.1	0.04			25
Choco Bolas	Hacendado		es				https://images.openfoodfacts.org/images/products/848/000/064/0185/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/064/0185/front_es.3.200.jpg	327	1368	15	11		43	29		4	0.2	0.08			
Chocolate con almendras enteras	Hacendado	Mercadona	España	en:milk,en:nuts		4	https://images.openfoodfacts.org/images/products/848/000/012/4791/front_es.23.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/4791/front_es.23.200.jpg	563	2349	39	15		42	40	3.6	11	0.2	0.08			22
Fresh gas lima limon	Hacendado		España		en:e330,en:e331,en:e950,en:e951	4	https://images.openfoodfacts.org/images/products/848/000/029/0502/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/029/0502/front_es.3.200.jpg														
Fresa morango	Hacendado		es				https://images.openfoodfacts.org/images/products/848/000/015/6594/front_es.3.400.jpg	https://images.openfoodfacts.org/images/products/848/000/015/6594/front_es.3.200.jpg	29	121	0.3	0.2		3.7	3.5		2.9	0.11	0.044			
Oregano	Hacendado	Mercadona	España			1	https://images.openfoodfacts.org/images/products/848/000/034/1808/front_es.32.400.jpg	https://images.openfoodfacts.org/images/products/848/000/034/1808/front_es.32.200.jpg														
Pan de molde integral	Hacendado		es		en:e200,en:e282,en:e412,en:e471,en:e481	4	https://images.openfoodfacts.org/images/products/848/000/083/8865/front_en.9.400.jpg	https://images.openfoodfacts.org/images/products/848/000/083/8865/front_en.9.200.jpg	253	1059	4	0.7		40	3.5		11	1.1	0.44			
Cuquis	Hacendado	Mercadona	España			3	https://images.openfoodfacts.org/images/products/848/000/033/5814/front_es.29.400.jpg	https://images.openfoodfacts.org/images/products/848/000/033/5814/front_es.29.200.jpg	473	1987	17	2		72	0.7	1.6	6.5	1.5	0.6			11
Salmorejo	Hacendado	Mercadona	España	en:gluten,es:Pan rallado		3	https://images.openfoodfacts.org/images/products/848/000/039/9021/front_es.35.400.jpg	https://images.openfoodfacts.org/images/products/848/000/039/9021/front_es.35.200.jpg	85	356	6.4	0.9		5.1	2.7	1.3	1.1	0.8	0.32			3
Choco fundir 0% azúcares añadidos 70% cacao	Hacendado	Mercadona	España	en:soybeans	en:e950,en:e965,en:e966	4	https://images.openfoodfacts.org/images/products/848/000/012/5309/front_es.16.400.jpg	https://images.openfoodfacts.org/images/products/848/000/012/5309/front_es.16.200.jpg	525	2167	42	26		35	0.1	9.7	8.7	0	0			11
